x=0.63409424 , y=10.609772 , z=-0.20100403
x=0.0382843 , y=9.82254 , z=-0.6771698
x=1.2299042 , y=9.698105 , z=-1.6390839
x=1.4883423 , y=10.265213 , z=1.0911255
x=1.1676941 , y=8.769699 , z=-2.2947235
x=0.0047912598 , y=8.652451 , z=-3.3020935
x=-0.9834442 , y=10.762909 , z=-0.87815857
x=0.68196106 , y=9.497116 , z=0.9188385
x=1.076767 , y=9.355942 , z=0.4402771
x=0.6891327 , y=9.911072 , z=-1.552948
x=0.8159485 , y=10.013962 , z=-0.5168457
x=0.38046265 , y=9.107086 , z=-1.763504
x=-0.72024536 , y=9.269791 , z=-2.1966095
x=0.76091003 , y=10.334595 , z=-0.5886383
x=2.2037964 , y=11.047668 , z=-0.1268158
x=1.0193481 , y=10.13121 , z=-1.5218353
x=0.1531372 , y=9.052048 , z=-0.8614197
x=0.23449707 , y=9.846466 , z=-0.7848511
x=-0.47616577 , y=10.018753 , z=-3.2231293
x=-0.20100403 , y=9.276978 , z=-1.7730865
x=1.6199341 , y=9.030518 , z=0.55992126
x=0.6006012 , y=10.011566 , z=0.3134613
x=-0.33499146 , y=10.136002 , z=-0.82073975
x=1.0528412 , y=9.485153 , z=-0.6460571
x=1.0528412 , y=9.468399 , z=-0.9786682
x=-0.18185425 , y=9.738785 , z=-2.411972
x=-0.29193115 , y=10.04985 , z=-1.4715881
x=0.2679901 , y=9.458832 , z=-1.483551
x=0.23449707 , y=9.57608 , z=-1.5409851
x=0.6628113 , y=10.258026 , z=-0.7680969
x=0.8877411 , y=10.291534 , z=-0.122039795
x=0.3014984 , y=9.779465 , z=-0.32302856
x=0.39482117 , y=9.525833 , z=-0.36849976
x=0.7896271 , y=9.748352 , z=-0.9140625
x=0.34457397 , y=9.745972 , z=-1.7084808
x=0.27757263 , y=9.346359 , z=-0.7417755
x=0.65563965 , y=9.49472 , z=0.42591858
x=0.45463562 , y=9.841675 , z=-0.4283142
x=0.16749573 , y=9.267395 , z=-1.6678009
x=0.047851562 , y=8.781662 , z=-1.3543396
x=-0.13400269 , y=9.059235 , z=-0.8279114
x=0.06460571 , y=9.485153 , z=-1.2466583
x=0.8925171 , y=9.477966 , z=-0.9762726
x=1.2346954 , y=9.427719 , z=-0.28474426
x=0.6197357 , y=9.956543 , z=-0.49771118
x=0.20578003 , y=10.578674 , z=-0.8901367
x=0.12921143 , y=9.997208 , z=-1.7371826
x=0.15074158 , y=9.334396 , z=-1.4787598
x=0.35891724 , y=10.023529 , z=-1.1844482
