x=0.09092573172584158 , y=4.832231914793886 , z=-0.49769593129176665
x=0.07058607735588909 , y=4.841799029039918 , z=-0.4450615443831762
x=0.07417946715643209 , y=4.81787361414713 , z=-0.41993070361249973
x=0.09930267864940039 , y=4.785571252330784 , z=-0.338579715410398
x=0.0957092888488574 , y=4.807108703300917 , z=-0.33738191881021695
x=0.10767199629525105 , y=4.823854967870327 , z=-0.40438223564327125
x=0.13638859758876234 , y=4.825052764470509 , z=-0.37925902415030294
x=0.14596334111250217 , y=4.828638524993343 , z=-0.3972030853198934
x=0.1208325003418257 , y=4.860948516087397 , z=-0.43070324373642055
x=0.11724673981899088 , y=4.877694780656807 , z=-0.4330912076590744
x=0.149549101635337 , y=4.87171342693361 , z=-0.44625171170564903
x=0.17945587025132115 , y=4.863336480010052 , z=-0.4534308620290269
x=0.17108655260547048 , y=4.842996825640099 , z=-0.45104289810637305
x=0.10408623577241623 , y=4.81787361414713 , z=-0.4271098539358775
x=0.025123211492968308 , y=4.780787695207769 , z=-0.3744678377495789
x=0.016746264569409485 , y=4.768824987761374 , z=-0.3972030853198934
x=0.053839812786479604 , y=4.7903548094538 , z=-0.3912217315966966
x=0.08374658140246374 , y=4.822657171270146 , z=-0.4330912076590744
x=0.10886979289543205 , y=4.813090057024114 , z=-0.42830765053605857
x=0.11006758949561304 , y=4.815485650224477 , z=-0.41156138596664904
x=0.11724673981899088 , y=4.863336480010052 , z=-0.43070324373642055
x=0.14117215471177819 , y=4.869317833733248 , z=-0.49769593129176665
x=0.1770679063286673 , y=4.874101390856264 , z=-0.449845101506192
x=0.16390740228209266 , y=4.839411065117264 , z=-0.4223262968128617
x=0.16869095940510848 , y=4.823854967870327 , z=-0.39360969551935043
x=0.13399300438840037 , y=4.8298363215935245 , z=-0.4067701995659251
x=0.13878419078912435 , y=4.7867690489309656 , z=-0.36250513030318526
x=0.15912384515907682 , y=4.7915526060539815 , z=-0.3445610691335948
x=0.20099332122145463 , y=4.785571252330784 , z=-0.32900497188665817
x=0.2213329755914071 , y=4.820269207347493 , z=-0.4007888458427282
x=0.17347451652812432 , y=4.798731756377359 , z=-0.4534308620290269
x=0.13160504046574653 , y=4.815485650224477 , z=-0.4079679961661061
x=0.07776522767926691 , y=4.8106944638237525 , z=-0.41156138596664904
x=0.07896302427944792 , y=4.811892260423933 , z=-0.4342890042592554
x=0.18065366685150214 , y=4.860948516087397 , z=-0.46180780895258566
x=0.2644002482539659 , y=4.856157329686673 , z=-0.56349845152464
x=0.2943146461476582 , y=4.884873930980184 , z=-0.4606100123524047
x=0.3505424228567916 , y=5.13133011806456 , z=-0.5072706748155065
x=0.22372856879176908 , y=4.85376936576402 , z=0.04306727266255879
x=-0.040679308739904954 , y=4.096449114063595 , z=-2.360483264349046
x=0.1746723131283053 , y=5.063132004631325 , z=0.1962097640984388
x=0.3170422644402645 , y=5.304804634592684 , z=-0.10050047524958139
x=0.01914185776977148 , y=4.911194939073334 , z=-0.338579715410398
x=0.6149426711107575 , y=4.848978179363296 , z=-0.8195293821327552
x=0.7441597476538502 , y=5.132527914664741 , z=0.5455543903550494
x=0.5838381058945924 , y=4.384782406488056 , z=-1.1473441866969405
x=0.002395593200361995 , y=4.32615903657856 , z=-1.6510214717119038
x=-0.4917145775685698 , y=5.38137206567177 , z=-0.4390725613822712
x=0.34097530861076 , y=4.7484853333914225 , z=0.4594122157522237
