x,y,z
-0.81 , 4.211 , 8.917
-0.859 , 4.236 , 8.96
-0.907 , 4.292 , 8.884
-0.902 , 4.242 , 8.892
-0.984 , 4.253 , 8.903
-0.95 , 4.266 , 8.986
-0.981 , 4.236 , 8.938
-1.008 , 4.241 , 8.936
-0.978 , 4.193 , 8.922
-0.943 , 4.283 , 8.901
-0.939 , 4.266 , 8.946
-0.953 , 4.255 , 8.869
-0.884 , 4.26 , 8.849
-0.872 , 4.247 , 8.856
-0.882 , 4.302 , 8.875
-0.937 , 4.243 , 8.885
-0.902 , 4.312 , 8.853
-0.871 , 4.315 , 8.867
-0.905 , 4.303 , 8.872
-0.862 , 4.302 , 8.904
-0.866 , 4.203 , 8.936
-0.867 , 4.248 , 8.944
-0.847 , 4.228 , 8.932
-0.774 , 4.264 , 8.976
-0.793 , 4.217 , 8.945
-0.787 , 4.235 , 8.929
-0.817 , 4.182 , 8.936
-0.828 , 4.223 , 9.003
-0.814 , 4.258 , 8.975
-0.86 , 4.256 , 8.988
-0.801 , 4.328 , 8.941
-0.866 , 4.273 , 8.934
-0.852 , 4.259 , 8.926
-0.849 , 4.303 , 8.948
-0.838 , 4.294 , 8.962
-0.841 , 4.312 , 8.945
-0.743 , 4.284 , 8.863
-0.77 , 4.251 , 8.875
-0.713 , 4.236 , 8.909
-0.707 , 4.213 , 8.862
-0.783 , 4.218 , 8.849
-0.789 , 4.219 , 8.848
-0.8 , 4.215 , 8.905
-0.828 , 4.182 , 8.826
-0.915 , 4.118 , 8.953
-0.947 , 4.158 , 8.975
-0.92 , 4.143 , 8.963
-0.895 , 4.102 , 8.913
-0.867 , 4.066 , 8.993
-0.907 , 4.03 , 8.939
-0.899 , 4.072 , 8.975
-0.91 , 4.101 , 8.972
-0.914 , 4.089 , 9.007
-0.947 , 4.115 , 8.913
-0.89 , 4.1 , 8.884
-0.883 , 4.138 , 8.889
-0.917 , 4.245 , 8.855
-0.958 , 4.23 , 8.874
-0.939 , 4.241 , 8.808
-0.921 , 4.276 , 8.879
-0.933 , 4.322 , 8.871
-0.917 , 4.304 , 8.875
-0.902 , 4.289 , 8.818
-0.967 , 4.282 , 8.885
-0.891 , 4.218 , 8.869
-0.967 , 4.216 , 8.873
-0.978 , 4.245 , 8.824
-0.921 , 4.243 , 8.848
-1.016 , 4.204 , 8.875
-0.961 , 4.24 , 8.926
-1.011 , 4.217 , 8.863
-1.08 , 4.179 , 8.923
-1.048 , 4.245 , 8.959
-1.109 , 4.258 , 8.941
-1.001 , 4.146 , 8.908
-0.977 , 4.195 , 8.893
-1.031 , 4.188 , 8.85
-0.969 , 4.201 , 8.879
-0.928 , 4.253 , 8.907
-0.999 , 4.252 , 8.914
-0.946 , 4.279 , 8.862
-0.963 , 4.246 , 8.836
-0.978 , 4.3 , 8.877
-0.995 , 4.284 , 8.8
-0.975 , 4.302 , 8.877
-0.953 , 4.33 , 8.89
-0.934 , 4.325 , 8.866
-0.959 , 4.28 , 8.833
-0.914 , 4.286 , 8.889
-0.891 , 4.241 , 8.867
-0.859 , 4.224 , 8.97
-0.886 , 4.26 , 8.862
-0.812 , 4.224 , 8.915
-0.826 , 4.216 , 8.938
-0.786 , 4.186 , 8.933
-0.813 , 4.176 , 8.913
-0.829 , 4.193 , 8.98
-0.83 , 4.185 , 8.948
-0.886 , 4.211 , 8.952
-0.829 , 4.177 , 9.0
-0.895 , 4.156 , 8.916
-0.835 , 4.154 , 8.958
-0.831 , 4.177 , 8.911
-0.888 , 4.216 , 8.942
-0.84 , 4.218 , 8.904
-0.823 , 4.239 , 8.895
-0.826 , 4.206 , 8.936
-0.842 , 4.258 , 8.85
-0.837 , 4.221 , 8.832
-0.814 , 4.26 , 8.833
-0.847 , 4.306 , 8.82
-0.829 , 4.32 , 8.828
-0.831 , 4.31 , 8.863
-0.838 , 4.295 , 8.842
-0.893 , 4.213 , 8.896
-0.876 , 4.285 , 8.88
-0.864 , 4.212 , 8.892
-0.8 , 4.169 , 8.969
-0.801 , 4.227 , 8.944
-0.837 , 4.191 , 8.939
-0.878 , 4.136 , 8.952
-0.855 , 4.175 , 8.977
-0.88 , 4.195 , 8.951
-0.82 , 4.231 , 8.935
-0.907 , 4.225 , 8.956
-0.886 , 4.215 , 9.02
-0.865 , 4.27 , 8.959
-0.865 , 4.278 , 8.924
-0.883 , 4.276 , 8.904
-0.844 , 4.304 , 8.901
-0.853 , 4.243 , 8.867
-0.752 , 4.264 , 8.816
-0.777 , 4.266 , 8.828
-0.816 , 4.282 , 8.857
-0.81 , 4.338 , 8.893
-0.907 , 4.272 , 8.766
-0.888 , 4.31 , 8.859
-0.884 , 4.291 , 8.776
-0.882 , 4.274 , 8.867
-0.921 , 4.288 , 8.887
-0.955 , 4.273 , 8.884
-0.938 , 4.24 , 8.935
-0.937 , 4.245 , 8.887
-0.959 , 4.239 , 8.895
-0.835 , 4.221 , 8.918
-0.819 , 4.221 , 8.92
-0.862 , 4.194 , 8.942
-0.844 , 4.234 , 8.947
-0.874 , 4.195 , 8.992
-0.902 , 4.188 , 8.989
-0.896 , 4.224 , 8.995
-0.895 , 4.198 , 8.951
-0.88 , 4.24 , 8.926
-0.92 , 4.231 , 8.927
-0.893 , 4.286 , 8.941
-0.837 , 4.292 , 8.901
-0.819 , 4.247 , 8.927
-0.776 , 4.309 , 8.881
-0.809 , 4.259 , 8.907
-0.818 , 4.285 , 8.887
-0.836 , 4.322 , 8.83
-0.834 , 4.285 , 8.891
-0.787 , 4.304 , 8.899
-0.817 , 4.324 , 8.822
-0.759 , 4.332 , 8.935
-0.896 , 4.334 , 8.896
-0.762 , 4.345 , 8.833
-0.823 , 4.276 , 8.856
-0.756 , 4.272 , 8.883
-0.811 , 4.258 , 8.896
-0.775 , 4.207 , 8.954
-0.798 , 4.272 , 8.905
-0.895 , 4.221 , 8.872
-0.876 , 4.236 , 8.97
-0.946 , 4.197 , 8.998
-0.934 , 4.148 , 9.031
-0.907 , 4.182 , 9.013
-0.965 , 4.193 , 8.952
-0.911 , 4.207 , 8.935
-0.888 , 4.194 , 8.97
-0.832 , 4.16 , 8.868
-0.855 , 4.182 , 8.896
-0.822 , 4.242 , 8.889
-0.834 , 4.195 , 8.842
-0.84 , 4.252 , 8.851
-0.852 , 4.313 , 8.918
-0.868 , 4.246 , 8.83
-0.871 , 4.291 , 8.865
-0.919 , 4.308 , 8.807
-0.958 , 4.286 , 8.844
-0.933 , 4.288 , 8.884
-0.891 , 4.33 , 8.874
-0.878 , 4.26 , 8.878
-0.872 , 4.292 , 8.875
-0.893 , 4.272 , 8.887
-0.826 , 4.231 , 8.89
-0.855 , 4.241 , 8.923
-0.835 , 4.268 , 8.945
-0.834 , 4.29 , 8.969
-0.842 , 4.213 , 8.945
-0.824 , 4.247 , 8.97
-0.82 , 4.236 , 8.978
-0.811 , 4.205 , 8.989
-0.789 , 4.2 , 8.982
-0.799 , 4.276 , 8.942
-0.876 , 4.246 , 8.856
-0.82 , 4.239 , 8.928
-0.819 , 4.246 , 8.911
-0.816 , 4.241 , 8.935
-0.855 , 4.272 , 8.924
-0.853 , 4.262 , 8.916
-0.902 , 4.313 , 8.881
-0.86 , 4.309 , 8.916
-0.921 , 4.246 , 8.892
-0.876 , 4.251 , 8.934
-0.923 , 4.245 , 8.879
-0.838 , 4.276 , 8.909
-0.836 , 4.256 , 8.962
-0.859 , 4.239 , 8.908
-0.817 , 4.267 , 8.953
-0.822 , 4.203 , 8.966
-0.858 , 4.186 , 8.903
-0.837 , 4.203 , 8.94
-0.825 , 4.187 , 8.94
-0.826 , 4.198 , 8.94
-0.789 , 4.23 , 8.953
-0.861 , 4.186 , 8.999
-0.805 , 4.149 , 8.918
-0.809 , 4.154 , 8.948
-0.811 , 4.143 , 8.901
-0.847 , 4.128 , 8.929
-0.844 , 4.163 , 8.938
-0.898 , 4.195 , 8.938
-0.932 , 4.247 , 8.971
-0.899 , 4.199 , 8.946
-0.914 , 4.23 , 8.896
-0.919 , 4.224 , 8.889
-0.923 , 4.215 , 8.901
-0.891 , 4.218 , 8.887
-0.905 , 4.231 , 8.899
-0.911 , 4.216 , 8.88
-0.898 , 4.227 , 8.874
-0.967 , 4.191 , 8.807
-0.923 , 4.234 , 8.907
-0.967 , 4.236 , 8.867
-0.961 , 4.193 , 8.885
-0.908 , 4.177 , 8.871
-0.943 , 4.145 , 8.826
-0.917 , 4.145 , 8.838
-0.891 , 4.187 , 8.939
-0.989 , 4.149 , 8.907
-0.923 , 4.114 , 8.957
-1.024 , 4.151 , 8.814
-0.923 , 4.144 , 9.069
-0.987 , 4.138 , 8.889
-0.946 , 4.121 , 9.003
-0.826 , 4.221 , 9.038
-0.903 , 4.218 , 9.02
-0.829 , 4.161 , 8.907
-0.902 , 4.128 , 8.883
-0.807 , 4.227 , 8.992
-0.85 , 4.284 , 8.998
-0.86 , 4.289 , 8.95
-0.861 , 4.28 , 8.853
-0.931 , 4.23 , 8.913
-0.902 , 4.29 , 8.807
-0.853 , 4.276 , 8.884
-0.893 , 4.246 , 8.863
-0.814 , 4.264 , 8.86
-0.836 , 4.334 , 8.844
-0.834 , 4.31 , 8.853
-0.884 , 4.217 , 8.886
-0.817 , 4.212 , 8.934
-0.795 , 4.197 , 8.926
-0.788 , 4.211 , 8.928
-0.84 , 4.191 , 8.977
-0.825 , 4.084 , 9.032
-0.795 , 4.137 , 9.045
-0.789 , 4.158 , 9.097
-0.779 , 4.173 , 9.042
-0.816 , 4.092 , 9.072
-0.797 , 4.095 , 8.96
-0.745 , 4.106 , 8.964
-0.749 , 4.168 , 8.984
-0.768 , 4.166 , 8.966
-0.791 , 4.181 , 8.989
-0.725 , 4.266 , 8.922
-0.765 , 4.209 , 8.916
-0.777 , 4.227 , 8.871
-0.735 , 4.255 , 8.839
-0.782 , 4.282 , 8.871
-0.764 , 4.255 , 8.857
-0.785 , 4.325 , 8.923
-0.804 , 4.334 , 8.808
-0.795 , 4.314 , 8.897
-0.776 , 4.296 , 8.879
-0.735 , 4.265 , 8.989
-0.731 , 4.295 , 8.913
-0.764 , 4.231 , 8.928
-0.722 , 4.23 , 8.922
-0.807 , 4.205 , 8.956
-0.812 , 4.17 , 8.998
-0.818 , 4.231 , 9.044
-0.832 , 4.233 , 8.996
-0.795 , 4.254 , 8.974
-0.846 , 4.216 , 8.994
-0.768 , 4.233 , 8.987
-0.88 , 4.203 , 8.998
-0.812 , 4.264 , 8.945
-0.774 , 4.283 , 8.849
-0.745 , 4.273 , 8.952
-0.788 , 4.234 , 8.905
-0.739 , 4.26 , 8.861
-0.777 , 4.234 , 8.857
-0.788 , 4.264 , 8.862
-0.828 , 4.289 , 8.855
-0.787 , 4.294 , 8.851
-0.792 , 4.264 , 8.89
-0.791 , 4.243 , 8.843
-0.838 , 4.177 , 8.865
-0.793 , 4.193 , 8.934
-0.789 , 4.182 , 8.984
-0.765 , 4.175 , 8.962
-0.792 , 4.251 , 8.963
-0.759 , 4.142 , 8.988
-0.745 , 4.169 , 8.942
-0.817 , 4.136 , 8.917
-0.807 , 4.199 , 8.93
-0.8 , 4.182 , 8.977
-0.82 , 4.194 , 8.957
-0.809 , 4.241 , 8.896
-0.779 , 4.219 , 8.869
-0.841 , 4.292 , 8.887
-0.797 , 4.222 , 8.921
-0.818 , 4.205 , 8.875
-0.789 , 4.236 , 8.924
-0.844 , 4.261 , 8.921
-0.805 , 4.217 , 8.887
-0.814 , 4.179 , 8.953
-0.807 , 4.2 , 8.975
-0.738 , 4.198 , 8.972
-0.794 , 4.144 , 8.95
-0.795 , 4.171 , 8.977
-0.838 , 4.144 , 8.983
-0.842 , 4.103 , 8.953
-0.826 , 4.098 , 9.005
-0.879 , 4.122 , 8.994
-0.883 , 4.134 , 8.95
-0.889 , 4.092 , 8.926
-0.865 , 4.114 , 8.998
-0.793 , 4.17 , 8.952
-0.88 , 4.102 , 8.96
-0.864 , 4.175 , 8.881
-0.866 , 4.143 , 8.866
-0.861 , 4.18 , 8.935
-0.919 , 4.176 , 8.871
-0.883 , 4.154 , 8.881
-0.913 , 4.183 , 8.868
-0.941 , 4.176 , 8.778
-0.878 , 4.192 , 8.887
-0.874 , 4.136 , 8.907
-0.896 , 4.15 , 8.953
-0.89 , 4.247 , 8.934
-0.911 , 4.185 , 8.975
-0.905 , 4.187 , 8.952
-0.89 , 4.188 , 8.897
-0.892 , 4.181 , 8.953
-0.85 , 4.179 , 8.862
-0.876 , 4.126 , 8.917
-0.859 , 4.181 , 8.935
-0.852 , 4.14 , 8.915
-0.909 , 4.133 , 8.899
-0.879 , 4.103 , 8.849
-0.974 , 4.125 , 8.794
-0.986 , 4.155 , 8.942
-0.922 , 4.246 , 9.079
-0.91 , 4.331 , 9.112
-0.798 , 4.357 , 9.11
-0.72 , 4.283 , 8.783
-0.643 , 4.194 , 8.696
-0.672 , 4.06 , 8.625
-0.756 , 4.145 , 8.691
-0.879 , 4.191 , 8.774
-1.066 , 4.23 , 8.909
-1.2 , 4.201 , 8.903
-1.245 , 4.169 , 8.981
-1.168 , 4.253 , 8.992
-0.953 , 4.205 , 9.099
-0.731 , 4.242 , 9.135
-0.412 , 4.229 , 9.071
-0.279 , 4.157 , 8.996
-0.237 , 4.109 , 8.987
-0.472 , 4.142 , 9.002
-0.676 , 4.113 , 9.062
-0.958 , 4.04 , 9.071
-1.139 , 4.06 , 9.127
-1.204 , 4.103 , 9.171
-1.138 , 4.254 , 9.085
-0.929 , 4.276 , 8.941
-0.743 , 4.284 , 8.776
-0.53 , 4.273 , 8.729
-0.449 , 4.359 , 8.707
-0.422 , 4.359 , 8.758
-0.464 , 4.373 , 8.856
-0.521 , 4.333 , 8.938
-0.664 , 4.32 , 8.993
-0.683 , 4.261 , 8.962
-0.688 , 4.106 , 8.938
-0.731 , 4.157 , 8.856
-0.67 , 4.191 , 9.012
-0.701 , 4.272 , 9.082
-0.737 , 4.309 , 9.096
-0.703 , 4.345 , 9.031
-0.767 , 4.29 , 8.966
-0.704 , 4.225 , 8.89
-0.673 , 4.251 , 8.86
-0.57 , 4.285 , 8.83
-0.619 , 4.199 , 8.772
-0.605 , 4.21 , 8.839
-0.682 , 4.118 , 8.868
-0.806 , 4.199 , 8.915
-0.962 , 4.194 , 8.956
-1.036 , 4.262 , 9.013
-1.031 , 4.312 , 9.0
-1.002 , 4.336 , 8.963
-0.91 , 4.28 , 8.892
-0.82 , 4.273 , 8.823
-0.661 , 4.242 , 8.887
-0.628 , 4.255 , 8.844
-0.533 , 4.219 , 8.917
-0.702 , 4.138 , 8.926
-0.806 , 4.158 , 8.915
-0.935 , 4.201 , 9.021
-1.037 , 4.2 , 9.074
-1.073 , 4.224 , 9.06
-0.975 , 4.259 , 9.025
-0.996 , 4.289 , 8.939
-0.825 , 4.251 , 8.812
-0.759 , 4.248 , 8.781
-0.735 , 4.265 , 8.747
-0.7 , 4.319 , 8.784
-0.801 , 4.295 , 8.872
-0.844 , 4.308 , 8.903
-0.879 , 4.312 , 8.924
-0.929 , 4.334 , 8.924
-1.029 , 4.28 , 8.875
-0.945 , 4.307 , 8.859
-0.903 , 4.272 , 8.887
-0.867 , 4.283 , 8.947
-0.762 , 4.24 , 8.952
-0.707 , 4.245 , 8.981
-0.74 , 4.267 , 9.053
-0.746 , 4.227 , 8.959
-0.823 , 4.255 , 8.933
-0.973 , 4.21 , 8.929
-1.029 , 4.186 , 8.865
-1.102 , 4.209 , 8.878
-1.09 , 4.23 , 8.914
-1.133 , 4.155 , 8.965
-1.038 , 4.193 , 8.917
-0.947 , 4.14 , 8.968
-0.914 , 4.243 , 8.874
-0.818 , 4.322 , 8.94
-0.86 , 4.237 , 8.839
-0.867 , 4.224 , 8.79
-0.826 , 4.131 , 8.769
-1.001 , 4.175 , 8.781
-1.01 , 4.195 , 8.914
-1.052 , 4.145 , 8.992
-1.08 , 4.138 , 8.981
-1.075 , 4.086 , 9.012
-1.083 , 4.146 , 8.948
-1.032 , 4.103 , 8.977
-0.999 , 4.197 , 8.988
-1.024 , 4.237 , 8.934
-0.925 , 4.246 , 8.93
-1.032 , 4.151 , 8.784
-0.952 , 4.043 , 8.904
-0.986 , 4.1 , 8.865
-0.978 , 4.116 , 8.98
-0.931 , 4.142 , 9.054
-0.959 , 4.124 , 8.838
-0.955 , 4.142 , 8.987
-0.978 , 4.206 , 8.869
-0.904 , 4.224 , 8.904
-0.922 , 4.271 , 8.826
-0.89 , 4.248 , 8.898
-0.843 , 4.193 , 8.802
-0.872 , 4.179 , 8.886
-0.866 , 4.133 , 8.96
-0.974 , 4.134 , 9.005
-0.938 , 4.15 , 9.062
-0.961 , 4.12 , 8.976
-0.978 , 4.15 , 8.953
-0.925 , 4.222 , 8.877
-0.994 , 4.225 , 8.875
-0.904 , 4.304 , 8.863
-0.858 , 4.252 , 8.881
-0.862 , 4.188 , 8.859
-0.855 , 4.211 , 8.812
-0.83 , 4.204 , 8.819
-0.835 , 4.177 , 8.916
-0.775 , 4.203 , 8.935
-0.848 , 4.198 , 8.946
-0.856 , 4.148 , 8.893
-0.853 , 4.1 , 8.869
