x,y,z
-0.729 , 8.152 , 6.183
-1.135 , 8.238 , 6.318
-1.614 , 8.209 , 6.65
-1.916 , 8.054 , 6.335
-2.161 , 7.753 , 5.938
-2.543 , 7.525 , 5.369
-2.73 , 7.503 , 5.691
-2.974 , 7.449 , 6.049
-3.113 , 7.389 , 6.153
-3.125 , 7.014 , 6.263
-3.178 , 6.747 , 5.975
-3.126 , 6.751 , 5.851
-3.126 , 6.834 , 6.236
-3.127 , 7.024 , 6.454
-3.068 , 6.884 , 6.618
-3.044 , 7.023 , 6.601
-2.939 , 7.018 , 6.855
-2.784 , 7.154 , 6.943
-2.537 , 7.174 , 6.815
-2.263 , 7.278 , 6.668
-2.056 , 7.383 , 6.266
-1.93 , 7.601 , 6.037
-1.986 , 7.781 , 6.0
-2.155 , 7.937 , 5.855
-2.297 , 8.027 , 5.849
-2.501 , 8.286 , 5.941
-2.398 , 8.487 , 5.854
-2.344 , 8.468 , 5.745
-2.028 , 8.316 , 5.695
-1.709 , 8.13 , 5.436
-1.577 , 7.976 , 5.647
-1.51 , 7.885 , 6.029
-1.645 , 7.802 , 6.393
-1.868 , 7.607 , 6.742
-2.009 , 7.427 , 6.806
-2.093 , 7.322 , 6.667
-2.118 , 7.345 , 6.628
-2.061 , 7.346 , 6.578
-1.954 , 7.3 , 6.534
-1.855 , 7.28 , 6.519
-1.989 , 7.205 , 6.509
-2.04 , 7.245 , 6.391
-1.942 , 7.241 , 6.492
-1.955 , 7.369 , 6.421
-1.845 , 7.551 , 6.266
-1.724 , 7.673 , 6.026
-1.654 , 7.806 , 5.851
-1.56 , 7.984 , 5.756
-1.496 , 8.061 , 5.653
-1.468 , 8.09 , 5.6
-1.565 , 7.964 , 5.61
-1.678 , 7.909 , 5.73
-1.734 , 7.873 , 5.951
-1.74 , 7.841 , 5.983
-1.822 , 7.764 , 5.962
-1.867 , 7.646 , 5.99
-1.819 , 7.551 , 5.885
-1.888 , 7.363 , 5.981
-1.985 , 7.296 , 6.091
-2.087 , 7.114 , 6.51
-2.198 , 6.994 , 6.715
-2.262 , 6.926 , 6.88
-2.143 , 6.857 , 7.153
-2.014 , 6.842 , 7.177
-1.869 , 6.925 , 7.235
-1.733 , 7.008 , 7.125
-1.5 , 7.067 , 6.705
-1.393 , 7.03 , 6.208
-1.125 , 7.158 , 5.941
-0.897 , 7.314 , 5.732
-0.694 , 7.579 , 5.763
-0.573 , 7.757 , 5.951
-0.338 , 7.738 , 6.098
-0.283 , 7.642 , 5.981
-0.051 , 7.664 , 6.134
-0.004 , 7.783 , 6.155
0.232 , 7.897 , 6.104
0.159 , 7.837 , 6.096
0.084 , 7.707 , 5.966
