x=-0.05122297053258099 , y=4.79955571836984 , z=-0.6597417898130684
x=-0.19057935714981727 , y=5.001861275357098 , z=-0.5562506377018887
x=-0.21930358772103675 , y=4.909852186196698 , z=-1.0626210577478323
x=-0.20003966150793473 , y=4.866403449648732 , z=-0.9766162101437534
x=-0.31076336888644945 , y=4.762767341261096 , z=-0.8221920000529027
x=-0.4286585973106339 , y=4.726078144762559 , z=-0.5888200242380204
x=-0.4669880885164258 , y=4.6889693379900725 , z=-0.5031356062976842
x=-0.24599843042188585 , y=4.740253342744318 , z=-0.3760470982351679
x=-0.005683811892578618 , y=4.8392584795631 , z=-0.6258296504003007
x=-0.18224055661479927 , y=4.85045062996097 , z=-0.6167736977607158
x=-0.45133281065928305 , y=4.567267099989516 , z=-0.857950424671045
x=-0.2826799976427154 , y=4.688648908326329 , z=-0.43038281407267787
x=-0.06499381679580839 , y=4.700764201326886 , z=-0.4705967368723851
x=-0.20322869958994527 , y=4.781626915755666 , z=-0.35228189817425193
x=-0.28798234564988606 , y=4.841257350322638 , z=-0.6453529720554801
x=-0.11375253062865395 , y=5.019423872641281 , z=-0.9457176354257086
x=-0.026298120260024826 , y=5.028540859502531 , z=-1.0802141721428475
x=-0.12583730651837816 , y=4.911317007516664 , z=-0.7514991128090994
x=-0.16513571599310628 , y=4.770694160799874 , z=-0.4734729745683611
x=-0.14040922694096225 , y=4.624852888130702 , z=-0.3621999591948589
x=-0.14887009591931083 , y=4.562994704472947 , z=-0.17391701463519754
x=-0.06456657724415146 , y=4.560835618881538 , z=-0.2899659578540074
x=0.021957061244082234 , y=4.7473943466791555 , z=-0.49962613855193094
x=-0.17495459640350722 , y=4.855615650969394 , z=-0.786792151487044
x=-0.45216440192947244 , y=4.870034985837815 , z=-0.7155346976928368
x=-0.31395240696846 , y=4.8389761962878985 , z=-0.6295527379218824
x=0.1217327551113885 , y=4.831148557359327 , z=-0.47247353918859225
x=0.3137540457480479 , y=4.6348930175946395 , z=-0.8553106945840219
x=0.17596929033869238 , y=5.0089565036256865 , z=0.5908265242752663
x=-0.0918183572176962 , y=4.666462968751002 , z=-1.5804811700222638
