x=-0.41003418 , y=9.807205 , z=-1.6946106
x=-0.16551208 , y=10.141266 , z=-1.7088165
x=-0.14064026 , y=10.060974 , z=-1.8578644
x=-0.195755 , y=9.864639 , z=-1.6366272
x=-0.2715454 , y=9.584503 , z=-1.1483307
x=-0.4763031 , y=9.274796 , z=-0.7641144
x=-0.6590729 , y=9.139191 , z=-0.60406494
x=-0.54629517 , y=9.218903 , z=-0.7411804
x=-0.28344727 , y=9.402405 , z=-0.92892456
x=-0.19084167 , y=9.547592 , z=-1.0688629
x=-0.2335968 , y=9.567322 , z=-1.2876282
x=-0.29678345 , y=9.590088 , z=-1.4269104
x=-0.43128967 , y=9.61644 , z=-1.445343
x=-0.5615082 , y=9.628265 , z=-1.4601746
x=-0.4537964 , y=9.7517395 , z=-1.495758
x=-0.09812927 , y=9.749512 , z=-1.6517639
x=0.10336304 , y=9.733994 , z=-1.4089813
x=-0.08609009 , y=9.644409 , z=-1.3713684
x=-0.8399048 , y=9.384155 , z=-1.0565186
x=-1.2418671 , y=9.122543 , z=-0.5370941
x=-0.780838 , y=9.104294 , z=-0.6314392
x=-0.14239502 , y=9.550339 , z=-0.5661011
x=-0.10244751 , y=9.599258 , z=-1.3195038
x=-0.38116455 , y=10.003876 , z=-1.1125183
x=-0.4386139 , y=9.819855 , z=-2.1252747
x=-0.40008545 , y=9.732956 , z=-1.9532623
x=-0.62153625 , y=9.525681 , z=-1.6444092
x=-0.8573303 , y=9.452301 , z=-1.1776581
x=-0.9339905 , y=9.378082 , z=-1.0062866
x=-0.4920044 , y=9.480652 , z=-0.7521057
x=-0.011367798 , y=9.678665 , z=-1.2516785
x=-0.3644867 , y=9.70105 , z=-1.2335663
x=-0.90267944 , y=9.134674 , z=-1.7159271
x=-0.56536865 , y=9.377441 , z=-0.8607788
x=-0.12998962 , y=9.401672 , z=-0.9412079
x=-0.40646362 , y=9.5634 , z=-0.7045746
x=-0.5759735 , y=9.682663 , z=-1.2907257
x=-0.22750854 , y=10.039001 , z=-1.8914642
x=-0.052597046 , y=10.057236 , z=-2.1604614
x=-0.25167847 , y=9.822784 , z=-1.5030212
x=-0.3302765 , y=9.541534 , z=-0.94696045
x=-0.28082275 , y=9.249847 , z=-0.724411
x=-0.29774475 , y=9.126129 , z=-0.34783936
x=-0.12913513 , y=9.121811 , z=-0.5799408
x=0.043914795 , y=9.494934 , z=-0.9992676
x=-0.34991455 , y=9.71138 , z=-1.5736084
x=-0.90434265 , y=9.740219 , z=-1.4310913
x=-0.6279144 , y=9.678101 , z=-1.2591248
x=0.24346924 , y=9.662445 , z=-0.94496155
x=0.6275177 , y=9.269928 , z=-1.7106476
x=0.35194397 , y=10.018066 , z=1.1816711
x=-0.18363953 , y=9.333069 , z=-3.1610107
x=-1.2074738 , y=10.313873 , z=-0.2960205
