bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0,,,,,
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,
-1.0142896,-2.475745,11.792889,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960256,0
-2.3753116,1.739418,8.101089,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960277,0
-1.147321,1.8727659,8.802052,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960316,0
-3.4394724,1.4106902,7.833944,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960357,0
-5.1593447,-0.60147905,9.021302,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960397,0
-1.4286711,1.9698141,7.3091807,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960418,0
-4.115362,3.376937,6.01202,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960458,0
-5.225916,2.54149,6.8145266,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960498,0
-2.581154,1.7746366,7.760064,23.55112224,87.2969528,56.5759735107422,4.5509996,0,12960538,0
-3.3665214,-0.09430885,8.303152,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960578,0
-8.252167,-1.5192375,7.779302,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960618,0
-6.407131,-4.4685593,10.609881,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960661,0
-3.6323495,-6.400218,12.021186,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960699,0
-6.1203656,-2.349947,8.297411,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960740,0
-1.1640807,3.5842385,5.794336,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960761,0
-3.7504532,0.54006636,6.3990865,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960799,0
-2.7316487,-3.3382695,11.0785885,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960820,0
-1.3197025,-2.0436041,11.1633835,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960861,0
-5.946333,-2.1253917,10.277843,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960901,0
-2.487021,-3.0861452,10.897647,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960942,0
-1.3366108,-1.6302571,9.989512,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12960983,0
0.13022129,2.1691332,9.272633,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961022,0
0.5952089,-0.034618415,10.435491,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961063,0
-2.423952,-2.567768,11.743046,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961084,0
0.81187344,0.6847716,10.134063,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961106,0
1.063475,2.0691335,9.74995,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961143,0
0.8161871,1.3719001,10.615001,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961183,0
3.2429965,4.444968,8.600177,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961224,0
2.4887638,1.3634014,10.102885,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961266,0
-0.20077972,4.6338058,7.122547,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961304,0
1.4491588,4.21904,9.425578,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961344,0
-0.6466297,-4.3917327,12.212735,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961367,0
1.5815802,3.1391404,8.069809,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961404,0
-2.219902,-1.9077184,12.297256,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961425,0
-2.2563603,-5.7596335,14.778125,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961465,0
-1.1533842,-7.650261,15.092515,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961506,1
-2.1314218,-4.3738327,13.172544,23.5511184,87.29695571,56.5759735107422,4.5509996,0,12961546,0
3.5343525,5.1041985,8.099517,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961569,0
2.2728245,-0.5466625,11.835566,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961606,0
-0.27434343,0.7184474,10.960058,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961628,0
1.4956763,-0.24308585,10.894423,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961667,0
-0.062293172,-3.3590307,11.761748,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961707,0
0.5959359,1.5444586,8.530672,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961728,0
0.94809884,3.0035534,9.03389,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961770,0
-0.5075336,1.1901338,8.218503,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961807,0
-2.5195603,-3.4430017,11.549926,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961829,0
-1.1291639,-0.76407903,9.104771,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961868,0
-1.2134547,4.452434,7.5154796,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961908,0
-0.9882974,2.323018,8.643368,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961949,0
-2.428418,4.3876004,7.1069064,23.5511104,87.29696656,121.451103210449,4.5509996,0,12961989,0
-1.2308804,-2.5435307,12.276185,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962030,0
-2.2749813,-1.7678384,10.435582,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962070,0
-0.73506916,4.2525225,7.841769,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962091,0
-2.2628844,-2.0356674,10.185734,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962130,0
-2.1106918,-1.9226207,10.491518,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962152,0
-2.530462,1.0423375,8.36694,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962191,0
-1.3186455,-1.2396561,10.89658,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962231,0
-3.9022174,2.776666,6.706158,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962272,0
-1.483015,2.5321116,9.212786,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962312,0
-1.7176857,1.1051781,8.652907,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962352,0
-2.4034202,0.045681953,10.372317,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962392,0
-3.7114916,-4.941556,11.831259,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962432,0
-4.030652,-6.567435,14.18049,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962472,0
0.26335865,0.9499204,8.539777,23.5511104,87.29696656,121.451103210449,4.5509996,0,12962513,0
