x=1.1102506384798703 , y=0.5431587971546874 , z=3.669339260127717
x=0.2919190529472962 , y=1.5672748903094402 , z=6.545470146215829
x=-1.3196209066248838 , y=-0.30627735359405184 , z=3.5999433500943008
x=-0.562308284202167 , y=-0.11724673981899088 , z=3.5389320162621516
x=1.6964843375748246 , y=0.5036849142926716 , z=6.656727903033914
x=1.276553633962325 , y=-0.20577687834447045 , z=4.988960166752601
x=-0.016746264569409485 , y=-0.008376946923558823 , z=4.362047158917742
x=-0.06580252023287327 , y=0.7429619510536692 , z=6.641179435064686
x=0.6041777602645448 , y=0.07058607735588909 , z=6.501197447675381
x=0.6448570690044498 , y=-0.4079679961661061 , z=4.523558967999472
x=1.4201213818744651 , y=0.7453499149763231 , z=5.772593797268467
x=2.4609837395986274 , y=1.726398735468517 , z=5.757045329299238
x=0.3134565039174297 , y=-0.8039732848858185 , z=2.319803955609141
x=-0.5694798052478367 , y=-0.6711780770975991 , z=7.025222016338004
x=0.11844453641917187 , y=2.185810951220741 , z=10.037741500014878
x=1.2526205897918294 , y=0.5048750816151445 , z=3.185994000204998
x=2.650014353373688 , y=-0.16031401248154967 , z=1.237072121822601
x=1.798174980146879 , y=1.5289911747698972 , z=5.758243125899419
x=-0.7513312686995198 , y=1.4344720532435127 , z=6.663907053357292
x=-0.9272013784280062 , y=0.13638859758876234 , z=6.587339622278206
x=0.7238200932838977 , y=0.5527335406784273 , z=5.997520162660417
x=1.0695789590176736 , y=0.7453499149763231 , z=4.195751792712995
x=0.4689869592759635 , y=0.11126538609579405 , z=2.4083417234123288
x=0.786029223716228 , y=-0.06220913043233027 , z=4.521171004076819
x=1.2873185448085376 , y=0.1435677479121402 , z=6.361223089563783
x=0.63528232548071 , y=0.2033889144218166 , z=6.264316004114745
x=-0.3924195281968776 , y=0.9092573172584157 , z=4.999725077598813
x=0.35532597997980747 , y=1.0265040570774067 , z=3.9564747559519975
x=1.9800340728762702 , y=0.32541921136382335 , z=4.732929236144486
x=1.1006835242338386 , y=-0.4941101707689318 , z=5.7211495776823496
x=-1.4667744150598587 , y=0.9822389878146668 , z=5.486656098044367
x=-1.3961883377039697 , y=0.6974990851907484 , z=4.406312228180481
x=1.1581090975431532 , y=0.7668873659464566 , z=5.170811630204284
x=1.7658726183305329 , y=0.338579715410398 , z=4.122770122156744
x=0.3445610691335948 , y=0.07896302427944792 , z=3.2398338129914777
x=-0.10528403237259722 , y=0.5455543903550494 , z=4.932732390043467
x=0.5168454183392462 , y=0.449845101506192 , z=5.501014398691123
x=0.637677918681072 , y=0.2655980448541469 , z=5.9771805082904645
x=-0.1950119674982578 , y=0.8901154594886442 , z=6.044180825123519
x=-0.2548331340079342 , y=0.2440605938840134 , z=3.51979015849238
x=1.4392632396442366 , y=0.13878419078912435 , z=4.158665873773633
x=1.428490699520316 , y=0.11844453641917187 , z=6.346864788917028
x=-1.3375649677944743 , y=0.5467521869552304 , z=4.523558967999472
x=-1.5122372809227795 , y=0.3230236181634613 , z=3.8021344679159363
x=1.3459419147180331 , y=0.8087644712865425 , z=5.874292069118229
x=1.9728549225528924 , y=-0.35532597997980747 , z=4.570219630462574
x=0.07417946715643209 , y=0.1208325003418257 , z=2.3856064758420144
x=0.08494437800264475 , y=0.40438223564327125 , z=4.127553679279759
x=1.3662815690879855 , y=-0.007179150323377825 , z=7.865091052840712
x=-0.011962707446393656 , y=0.26321008093149306 , z=7.448746109751047
x=-1.424904938997481 , y=0.7585104190228977 , z=3.861955634425613
x=0.6699802804974181 , y=1.1198253820036101 , z=4.882478337779823
x=2.171452650573985 , y=-0.011962707446393656 , z=5.320360731839621
x=0.0981048820492194 , y=-0.339777512010579 , z=3.2170985654211632
x=-1.390206983980773 , y=0.8458503902259045 , z=4.44220797979737
x=-0.3278148045641853 , y=1.0348810040009655 , z=5.984359658613842
x=0.5096662680158685 , y=0.151944694835699 , z=3.934937304981864
x=0.6807451913436308 , y=0.18543722397451798 , z=3.8858810493184004
x=1.0277018536775875 , y=1.3004790488551123 , z=6.607679276648159
x=0.89489901661166 , y=0.6125547071881037 , z=5.344286146732409
x=0.5874314956951354 , y=-0.1220302969420067 , z=4.222072800806145
x=-0.148351305035156 , y=1.4966888129535512 , z=5.9472661103967726
x=-0.8075666746863615 , y=0.42830765053605857 , z=3.371438853457224
x=0.9044737601353999 , y=0.19022841037524196 , z=4.023467443507344
x=2.1128292806644895 , y=0.6891221382671896 , z=8.218021439620157
x=-0.12920944726538452 , y=0.8422570004253614 , z=7.598295211386384
x=-2.013526602015089 , y=0.6460548656046308 , z=4.959045768858909
x=0.06101896310985743 , y=1.343546321517671 , z=3.8428137766558415
x=2.9060376547040954 , y=0.3493446262566106 , z=2.91919815875067
x=2.092489626294537 , y=0.45702425182956985 , z=2.3676624146724237
x=-0.5682896379253639 , y=1.0827394630642482 , z=4.44220797979737
x=-1.23587432522242 , y=0.9307947682285492 , z=5.786952097915223
x=-0.19022841037524196 , y=1.1581090975431532 , z=8.274256845606999
x=-0.0981048820492194 , y=1.343546321517671 , z=6.4210442560734595
x=0.35772157318016945 , y=1.3961883377039697 , z=3.1010496222023534
x=2.929963069596883 , y=1.0958923378331147 , z=3.633443508510828
x=2.839037337871041 , y=0.005981353723196828 , z=2.837847170548568
x=-0.22731432931460394 , y=-0.3960052887197124 , z=1.800570573347241
