x=0.025123211492968308 , y=2.1224040241882296 , z=4.5462942155697865
x=0.19022841037524196 , y=1.9561010287057747 , z=4.636022150695447
x=0.2667958414543279 , y=1.9321756138129875 , z=4.5845779311093295
x=0.3230236181634613 , y=1.9285822240124444 , z=4.610898939202479
x=0.25363533740775324 , y=1.9321756138129875 , z=4.59415267463307
x=0.14236995131195918 , y=1.9345712070133494 , z=4.571417427062755
x=0.05144421958611761 , y=1.9704593293525303 , z=4.531935914923031
x=0.0287166012935113 , y=1.9202129063665938 , z=4.462547634167323
x=0.04187710534008595 , y=1.982422036798924 , z=4.502029146307047
x=0.0717838739560701 , y=2.031478292462388 , z=4.430245272350977
x=0.22372856879176908 , y=2.029082699262026 , z=4.423066122027599
x=0.2919190529472962 , y=2.027884902661845 , z=4.450584926720929
x=0.1782657029288483 , y=1.9214107029667749 , z=4.312998532531986
x=0.002395593200361995 , y=1.9979781340458607 , z=4.5606525162165426
x=0.010764910846212658 , y=1.9549032321055937 , z=4.588163691632165
x=0.18903061377506097 , y=1.9596944185063176 , z=4.506812703430063
x=0.3074751501942328 , y=1.9788362762760892 , z=4.354868008594364
x=0.1244258901423687 , y=1.8089475202707999 , z=4.369226309241119
x=0.06101896310985743 , y=2.143933845880655 , z=5.119367410618167
x=0.15433265875835284 , y=1.6055586058489832 , z=4.819071410747312
x=-0.008376946923558823 , y=2.508834569384202 , z=4.632436390172613
x=0.20577687834447045 , y=0.8853319023656284 , z=1.2885163414087186
x=0.6041777602645448 , y=3.0807099678324006 , z=7.2633012564988215
x=-0.20697467494465144 , y=0.8889176628884632 , z=5.405305109842266
x=-0.15313486215817185 , y=2.1499151996038517 , z=4.224460764728798
x=0.7656895693462755 , y=2.7564885530687584 , z=3.888276642518762
x=0.8841341057654474 , y=1.1521277438199562 , z=2.696667386559082
x=0.33020276848683916 , y=1.944138321259381 , z=7.533690487753692
x=-0.7716709230694724 , y=1.9644779756293336 , z=4.793948199254343
x=-0.3445610691335948 , y=1.9608845858287907 , z=1.6019728453261484
x=0.9666828905677302 , y=2.4394462886284938 , z=5.2976254842693065
x=0.6245174146344974 , y=1.1676762117891848 , z=5.727130931405546
x=-0.08254878480228275 , y=2.026687106061664 , z=4.917176292796531
x=-0.08733997120300674 , y=3.0424262522928576 , z=3.4288644267665385
x=0.34097530861076 , y=1.7180217885449582 , z=2.9048398581039145
x=0.6328943615580561 , y=1.6809358696055963 , z=6.064512850215763
x=0.13758639418894336 , y=1.8400520854869649 , z=5.749866178975861
x=-0.07536963447890492 , y=2.0362618495854035 , z=3.081907764432582
x=0.5192333822619001 , y=2.548316081523926 , z=4.090467760340398
x=0.5575170978014431 , y=1.8675708901802952 , z=4.677899256035533
x=0.1208325003418257 , y=1.645040117988707 , z=4.920762053319366
x=-0.18543722397451798 , y=2.207348402190874 , z=4.98776237015242
x=-0.0717838739560701 , y=1.6928985770519898 , z=3.444412894735767
x=0.5311960897082938 , y=1.993194576922845 , z=4.7556644837148
x=0.5910172562179702 , y=1.8567983500563743 , z=5.11338605689497
x=0.3134565039174297 , y=1.7431450000379265 , z=4.389565963611072
x=0.2033889144218166 , y=2.392785626165392 , z=4.569021833862393
x=0.13878419078912435 , y=1.8974776587962794 , z=3.8751161384721877
x=0.18185146345168315 , y=2.0087430448920736 , z=4.780787695207769
x=0.20817247154483245 , y=2.0446387965089623 , z=5.082281491678804
x=0.22851212591478492 , y=2.1893967117435755 , z=4.244800419098751
x=0.35652377657998846 , y=2.3293786991328806 , z=4.078505052894005
x=0.2919190529472962 , y=2.102064369818277 , z=4.058165398524052
x=0.2033889144218166 , y=1.6940887443744628 , z=4.0258630367077055
x=0.2655980448541469 , y=2.1977736586671344 , z=5.0284416788923245
x=0.18424705665204513 , y=2.0482245570317974 , z=4.5606525162165426
x=0.2500495768849184 , y=2.1247919881108834 , z=4.505614906829882
x=0.486931020445554 , y=2.029082699262026 , z=4.905213585350137
x=0.56349845152464 , y=1.5828309875563769 , z=4.876496984056626
x=0.40916579276628706 , y=1.6677753655590215 , z=4.931534593443287
x=0.08733997120300674 , y=1.6773424798050531 , z=4.316584293054821
x=0.03469795501670813 , y=1.8962798621960983 , z=4.58577572770951
x=0.20099332122145463 , y=1.8627873330572793 , z=4.795145995854524
x=0.3469566623339568 , y=1.7096448416213994 , z=4.369226309241119
x=0.3086729467944138 , y=1.910638162842854 , z=4.214893650482766
x=0.059821166509676435 , y=2.1977736586671344 , z=4.167035191419484
x=-0.06580252023287327 , y=2.255199231976449 , z=4.419472732227056
x=0.2488517802847374 , y=2.2563970285766297 , z=4.115590971833366
x=0.750141101377047 , y=2.2240946667602834 , z=3.7219812763140157
x=0.6424614758040879 , y=2.3090390447629283 , z=4.400330874457285
x=0.13399300438840037 , y=2.0422432033086007 , z=4.618078089525857
x=0.16390740228209266 , y=2.466965093321824 , z=4.93392255736594
x=0.46180780895258566 , y=2.1463294390810166 , z=4.3010358250855925
x=0.5850359024947733 , y=1.7503241503613043 , z=4.350084451471348
x=0.2644002482539659 , y=1.7168239919447772 , z=4.7532688905144385
x=-0.14236995131195918 , y=1.83646632496413 , z=5.151669772434513
x=-0.08016082087962892 , y=1.7491263537611232 , z=5.024848289091782
x=0.39360969551935043 , y=1.8113354841934537 , z=4.395547317334269
x=0.679555024021158 , y=1.7802309189772885 , z=4.318979886255183
x=0.4007888458427282 , y=2.1188106343876862 , z=5.096632163047852
x=-0.08016082087962892 , y=1.953713064783121 , z=4.3393195406251355
x=0.11604894321880987 , y=2.169057057373623 , z=4.017486089784147
x=0.5670918413251829 , y=2.0841203086486866 , z=4.353677841271891
x=0.5228267720624431 , y=1.8161266705941777 , z=4.315386496454639
x=0.2655980448541469 , y=2.1463294390810166 , z=4.7903548094538
x=0.20099332122145463 , y=2.3772295289184555 , z=4.534331508123393
x=0.37806122755012195 , y=2.070959804602112 , z=3.8033322645161176
x=0.5395730366318526 , y=1.8938918982734445 , z=4.492454402783307
x=0.3170422644402645 , y=1.6306818173419515 , z=5.045187943461734
x=0.08254878480228275 , y=1.8304849712409332 , z=4.762843634038178
x=0.18185146345168315 , y=2.0410454067084194 , z=4.256763126545144
x=0.4689869592759635 , y=1.8855149513498857 , z=4.177807731543405
x=0.5778567521713955 , y=1.8197124311170123 , z=4.833429711394067
x=0.28593769922409934 , y=1.948921878382397 , z=4.762843634038178
x=0.010764910846212658 , y=2.0087430448920736 , z=4.18259128866642
x=0.1208325003418257 , y=2.319803955609141 , z=4.284281931238475
x=0.40558003224345224 , y=1.916619516566051 , z=3.870332581349172
x=0.4594122157522237 , y=2.1893967117435755 , z=4.99733711367616
x=0.23449347963798176 , y=1.8962798621960983 , z=4.4314430689511575
x=0.2823519387012645 , y=2.5315698169545167 , z=5.194737045097071
x=0.06819811343323526 , y=2.4585881463982653 , z=5.4041073132420845
x=-0.16510519888227365 , y=1.9393547641363653 , z=3.133351984018699
x=0.40438223564327125 , y=1.953713064783121 , z=1.6964843375748246
x=0.8099546386090153 , y=2.0075452482918923 , z=4.886071727580366
x=0.16270960568191167 , y=1.3555166582417728 , z=6.746463467437283
x=-0.38524037787349974 , y=2.4238901913815574 , z=5.095441995725379
x=0.2452583904841944 , y=2.5243906666311386 , z=3.2386360163912964
x=1.5230098210467005 , y=1.537368121693456 , z=5.228237203513599
x=1.6510214717119038 , y=1.1856279022364835 , z=7.569578610092873
x=0.1746723131283053 , y=1.2466392360686327 , z=4.360849362317561
x=-0.7130475531599769 , y=1.5768496338331799 , z=2.1582921465274105
x=-0.2919190529472962 , y=1.196392813082696 , z=3.6645480737269933
x=0.3708820772267441 , y=0.5180355856617191 , z=5.642186553402901
x=0.3182400610404455 , y=1.8436454752875078 , z=6.423432219996114
x=-0.16151180908173066 , y=3.0555867563394323 , z=3.818888361763054
x=0.021537450970133473 , y=3.300845146823627 , z=2.3042554876399124
x=0.8135480284095583 , y=2.806734976054695 , z=4.330942593701576
x=0.7369805973304724 , y=2.05898946787801 , z=5.224651442990764
x=-0.0957092888488574 , y=2.3724459717954396 , z=3.553290316908907
x=-0.1962097640984388 , y=3.038840491770023 , z=2.6033536909105868
x=0.6017821670641829 , y=2.779223800639073 , z=3.226673308944903
x=1.3938003737813158 , y=2.360483264349046 , z=4.572615223662936
x=0.9415596790747618 , y=2.4035505370116046 , z=6.776370236053267
x=-0.8027831175633456 , y=1.9549032321055937 , z=6.392327654779948
x=-1.2011763702057119 , y=0.9559179797215175 , z=0.558714894401624
x=0.8410668331028887 , y=1.8125332807936345 , z=3.40374121527357
x=1.046843711447359 , y=0.7704807557469995 , z=9.042342008153637
x=-0.5252147359850969 , y=0.06700031683305425 , z=6.075285390339684
x=-0.6675846872970561 , y=2.6703463784659327 , z=4.072523699170807
x=0.675961634220615 , y=1.6570028254351008 , z=3.9923628782911784
x=1.9740450898753652 , y=1.0731647195405083 , z=7.576757760416251
x=1.347139711318214 , y=1.6976821341750057 , z=5.322756325039983
x=-0.149549101635337 , y=2.0781313256477816 , z=0.5323938863084747
x=-0.6293009717575132 , y=1.9704593293525303 , z=3.5831970855248914
x=-0.7716709230694724 , y=0.9283991750281871 , z=6.453346617889806
x=-0.6436592724042688 , y=1.3782442765343792 , z=5.097829959648033
x=0.3493446262566106 , y=3.2709383782076427 , z=3.2350502558684617
x=1.233478732022058 , y=3.7219812763140157 , z=2.6045514875107676
x=1.2813371910853408 , y=2.572241496416713 , z=2.9371422199202604
x=0.3912217315966966 , y=2.3102368413631096 , z=7.708362800881997
x=-1.3638859758876236 , y=2.0003660979685147 , z=5.188755691373874
x=-0.32661700796400434 , y=0.38164698807295677 , z=-2.967056617813953
x=1.9692615327523495 , y=4.932732390043467 , z=8.62240367526343
x=0.5575170978014431 , y=1.1210231786037912 , z=5.441193232181447
x=-0.6101591139877417 , y=2.4597859429984466 , z=2.0386574427857656
x=-0.33618412221003596 , y=3.0173030407998893 , z=5.143292825510954
x=0.43190104033660154 , y=-0.7752643128700153 , z=3.826067512086432
x=1.8077497236706188 , y=1.726398735468517 , z=9.197872463512171
x=0.7190289068831738 , y=2.9012540975810794 , z=6.785944979577007
x=-0.8195293821327552 , y=0.4737705163989793 , z=-0.46180780895258566
x=-0.21774721506857225 , y=1.6928985770519898 , z=4.45895424436678
x=0.09930267864940039 , y=-0.37925902415030294 , z=8.07804708150856
x=-0.37686343094994096 , y=0.04785845906328278 , z=7.843553601870578
x=-0.596998609941167 , y=3.998344232014375 , z=3.0208888013227244
x=0.5730731950483797 , y=3.383401560903618 , z=-2.4549947565977224
x=1.869958854102949 , y=3.6202830044642536 , z=6.619641984094552
x=0.5778567521713955 , y=0.08972793512566057 , z=6.667500443157835
x=-0.9714740769684541 , y=2.2707553292233853 , z=5.133725711264922
x=0.07417946715643209 , y=2.0458289638314353 , z=0.5036849142926716
x=2.2611805856996456 , y=4.360849362317561 , z=5.416070020688479
x=1.6294840207417705 , y=3.0316613414466453 , z=6.392327654779948
x=-0.7776522767926691 , y=2.4346627315054783 , z=2.5040510122611863
x=-1.1688740083893658 , y=3.0149074475995277 , z=3.601141146694482
x=-0.44625171170564903 , y=-0.7704807557469995 , z=4.722164325298273
x=0.3876283417961536 , y=0.05264201618629861 , z=6.371988000409996
x=0.2452583904841944 , y=2.6739397682664756 , z=5.36342800450218
x=-0.40916579276628706 , y=2.7875931182849234 , z=2.2623783822998265
x=0.009574743523739819 , y=2.136754695557277 , z=4.705410431451155
x=0.52880812578564 , y=1.1999785736055308 , z=4.913582902995988
x=1.0564184549710989 , y=0.10886979289543205 , z=3.6932646750205045
x=0.6484428295272846 , y=3.5676409882779545 , z=8.57933640260087
x=-0.44744950830583 , y=0.5072706748155065 , z=0.9427574756749428
x=0.5371774434314907 , y=4.32615903657856 , z=3.7937651502700858
x=0.8865296989658094 , y=1.128202328927169 , z=4.3010358250855925
x=0.5407708332320336 , y=0.4330912076590744 , z=5.96402000424389
x=0.21654941846839126 , y=2.620099955479996 , z=8.013442357875869
x=-0.556319301201262 , y=2.4143230771355255 , z=1.117429788803248
x=-0.18304926005186414 , y=3.2757219353306586 , z=4.100042503864137
x=0.07896302427944792 , y=1.1449485934965784 , z=5.1779907805276615
x=0.5479499835554115 , y=1.682126036928069 , z=6.613660630371355
x=0.3912217315966966 , y=2.580618443340272 , z=6.1650133254653445
x=-0.23449347963798176 , y=1.4667744150598587 , z=-0.2560309306081152
x=0.05622777670913345 , y=3.1321541874185184 , z=3.865549024226156
x=-0.18543722397451798 , y=0.9008803703348569 , z=4.805910906700737
x=-0.2045867110219976 , y=2.072149971924585 , z=6.15185282141877
x=0.03350015841652713 , y=2.702648740282279 , z=5.223453646390583
x=0.20937026814501344 , y=1.7024656912980216 , z=1.7718616013314379
x=0.5874314956951354 , y=2.250415674853433 , z=6.170994679188541
x=-0.1220302969420067 , y=0.03588812233918096 , z=4.858552922887036
x=0.12322809354218771 , y=1.8819291908270508 , z=5.061941837308852
x=0.2895234597469342 , y=3.1213892765723057 , z=6.324137170624422
x=-0.45104289810637305 , y=1.4069608778278906 , z=2.672741971666295
x=0.32183345084098847 , y=2.397569183288408 , z=4.013900329261312
x=0.7537268618998819 , y=1.3626881792874426 , z=5.498618805490761
x=0.009574743523739819 , y=0.7298014470070946 , z=3.666943666927355
x=-0.4330912076590744 , y=2.652402317296342 , z=5.082281491678804
x=-0.5814501419719386 , y=2.9431235736434576 , z=5.024848289091782
x=0.150746898235518 , y=1.8173244671943585 , z=3.22307991914436
x=0.9810411912144857 , y=1.9082501989202 , z=5.447174585904643
x=0.5766589555712146 , y=0.5646962481248209 , z=2.968254414414134
x=0.6089613173875607 , y=2.1798295974975437 , z=5.972396951167449
x=0.150746898235518 , y=2.768451260515152 , z=7.4367757730269455
x=-0.46300560555276665 , y=1.3459419147180331 , z=1.7359658497145487
x=0.6699802804974181 , y=2.987396272183905 , z=3.857172077302597
x=0.5730731950483797 , y=1.0336832074007845 , z=3.8093136182393144
x=-0.5551291338787893 , y=0.6544241832504815 , z=3.299654979501154
x=-0.9583135729218795 , y=3.6681414635275362 , z=6.684246707727245
x=-1.502670166676748 , y=2.5291742237541546 , z=3.138135541141715
x=-0.42830765053605857 , y=2.2827180366697792 , z=2.2228968701601026
x=1.125806735726807 , y=1.7383614429149106 , z=5.9089823948572295
x=1.2574117761925534 , y=-0.556319301201262 , z=3.7710299026997713
x=1.2980834556547503 , y=2.0769411583253086 , z=6.031020321076944
x=0.2500495768849184 , y=2.8904891867348668 , z=6.861314614055912
x=-0.46300560555276665 , y=1.4117444349509063 , z=3.4109203655969482
x=1.0623998086942956 , y=2.6787233253894915 , z=4.677899256035533
x=1.4141400281512684 , y=1.6845216301284311 , z=5.313181581516243
x=0.1399743581115972 , y=0.6316965649578752 , z=4.165837394819302
x=-0.5132520285387033 , y=2.432267138305116 , z=4.698238910405486
x=-0.3074751501942328 , y=2.3700580078727858 , z=5.075102341355427
x=0.4941101707689318 , y=2.0123364346926165 , z=4.214893650482766
x=1.0432579509245243 , y=2.967056617813953 , z=4.321367850177837
x=0.5742709916485608 , y=2.3461249637022905 , z=3.2039380613745885
x=0.8171337889323932 , y=1.6737567192822185 , z=2.4538045892752494
x=1.4476325572900872 , y=2.968254414414134 , z=6.449753228089262
x=0.6544241832504815 , y=1.7108426382215804 , z=6.133908760249179
x=-0.25123974420739126 , y=2.8031492155318602 , z=3.864351227625975
x=0.2763705849780677 , y=3.2147106014985094 , z=2.4861069510915956
x=1.3327814106714584 , y=1.0037764387848003 , z=3.978004577644423
x=1.610342162971999 , y=1.0635899760167686 , z=6.449753228089262
x=0.5060728782153254 , y=2.422692394781376 , z=5.05954624410849
x=-0.48214746332253816 , y=3.334345305240154 , z=4.5080105000302435
x=0.07896302427944792 , y=2.7146190770063807 , z=3.3893829146268146
x=1.4069608778278906 , y=2.2563970285766297 , z=3.9229745975354704
x=1.2633931299157504 , y=1.5002745734763858 , z=5.343088350132227
x=-0.04187710534008595 , y=0.86020869087266 , z=2.9347542559976065
x=-0.13160504046574653 , y=2.5016554190608242 , z=3.520987955092561
x=0.3804491914727758 , y=2.817507516178616 , z=6.590933012078749
x=0.20099332122145463 , y=2.173848243774347 , z=5.58835436989413
x=-0.059821166509676435 , y=2.0051572843692385 , z=2.7457236422225457
x=0.6149426711107575 , y=1.7443427966381075 , z=4.476905934814079
x=0.9714740769684541 , y=1.0085599959078162 , z=6.4019023983036885
x=-0.11246318269597505 , y=1.2538183863920105 , z=4.2364311014529
x=-0.4414681545826332 , y=1.7862122727004852 , z=2.5196071095081227
x=0.7979919311626217 , y=3.3558827562102875 , z=7.43319001250411
x=1.272960244161782 , y=2.1487250322813787 , z=4.621663850048692
x=0.8338876827795108 , y=2.617704362279634 , z=2.0745455651249465
x=-0.13878419078912435 , y=2.255199231976449 , z=4.4314430689511575
x=-0.8398690365027076 , y=0.6604055369736783 , z=3.8775117316725494
x=0.09332132492620357 , y=1.3387627643946554 , z=5.666119597573397
x=0.9666828905677302 , y=2.0051572843692385 , z=7.372171049394253
x=0.06460472363269226 , y=1.8532125895335396 , z=3.0113216870766926
x=-1.2107511137294518 , y=1.9716571259527114 , z=1.275355837362144
x=-0.9068693533357619 , y=1.375848683334017 , z=6.4019023983036885
x=-0.2189373823910451 , y=0.4737705163989793 , z=7.741862959298524
x=-0.5431587971546874 , y=1.1688740083893658 , z=2.672741971666295
x=-0.22372856879176908 , y=2.4238901913815574 , z=2.139150288757639
x=0.8075666746863615 , y=3.4420249308131132 , z=7.594701821585842
x=1.1090528418796892 , y=1.7359658497145487 , z=4.1514867234502555
x=1.083929630386721 , y=2.169057057373623 , z=2.3820207153191797
x=0.52880812578564 , y=2.7540929598683963 , z=5.497428638168288
x=-0.03469795501670813 , y=1.3734607194113633 , z=3.1596729921118487
x=0.7130475531599769 , y=1.8101453168709807 , z=3.2852966788543982
x=1.2669788904385852 , y=2.896470540458064 , z=7.55881369924666
x=-0.3995986785202554 , y=1.8855149513498857 , z=4.758052447637454
x=-1.7826265121776503 , y=1.7491263537611232 , z=1.9154217199658699
x=-0.6915177314675516 , y=1.7874100693006663 , z=4.9793854232288615
x=0.6807451913436308 , y=1.8627873330572793 , z=7.203480089989145
x=-0.3182400610404455 , y=1.9668735688296957 , z=6.35762969976324
x=-1.686917223328793 , y=0.48334525992271915 , z=-1.422509345797119
x=0.6304987683576941 , y=2.7768282074387107 , z=3.9516835695512733
x=2.135564528234804 , y=4.311800735931805 , z=8.46208966278188
x=-0.20937026814501344 , y=-0.5706776018480177 , z=0.6867265450668276
x=-1.4859239021073385 , y=3.1393333377418964 , z=5.204311788620811
x=-0.06819811343323526 , y=0.7956039672399678 , z=4.139516386726154
x=2.4143230771355255 , y=3.3905807112269954 , z=9.27802565511409
x=2.2133297559140708 , y=1.3734607194113633 , z=3.5030362646452624
x=0.4139493498893029 , y=3.6489996057577647 , z=1.9692615327523495
x=-0.5575170978014431 , y=2.1068479269412927 , z=5.850359024947734
x=-1.0241160931547528 , y=-0.3122587073172487 , z=5.0368109965381755
x=-0.03948151213972396 , y=-1.6893051872514468 , z=2.134366731634623
x=0.9439552722751239 , y=4.71857093549773 , z=7.189129418620097
x=0.005981353723196828 , y=2.801951418931679 , z=3.5724321746786787
x=-0.2500495768849184 , y=2.6715441750661135 , z=1.234676528622239
x=1.3040648093779472 , y=2.063780654278734 , z=6.387544097656932
x=0.9128507070589587 , y=2.6009580977102247 , z=7.179554675096357
x=0.30029599987085503 , y=0.8015853209631647 , z=1.8520147929333586
x=0.6939056953902054 , y=4.978195255906388 , z=7.028807776860839
x=-0.11366097929615604 , y=0.5575170978014431 , z=-1.3339792072716394
x=0.5802523453717575 , y=4.135930626203319 , z=5.541693707431028
x=0.4342890042592554 , y=2.3257853093323377 , z=11.54399742721446
x=-1.2083555205290897 , y=2.102064369818277 , z=4.914780699596169
x=-0.8865296989658094 , y=1.4009795241046936 , z=-2.8127163297778917
x=1.3279978535484427 , y=5.233020760636614 , z=4.192158402912452
x=1.726398735468517 , y=-0.06220913043233027 , z=4.391961556811434
x=0.524016939384916 , y=2.3437369997796367 , z=5.703205516512758
x=-0.2763705849780677 , y=0.1746723131283053 , z=2.5686557358938784
x=-0.037085918939361966 , y=5.101423349448576 , z=8.934662382580678
x=0.5467521869552304 , y=0.9762576340914699 , z=5.608694024264082
x=1.1353738499728387 , y=2.502853215661005 , z=2.3078412481627475
x=1.6593984186354627 , y=4.606115382079463 , z=3.7913695570697237
x=-0.4402703579824522 , y=2.244434321130236 , z=-0.17347451652812432
x=-1.759891264607336 , y=-0.4653935694754205 , z=3.120191479972125
x=-0.4941101707689318 , y=-0.5000915244921287 , z=8.76716921977575
x=0.5718753984481987 , y=4.935120353966122 , z=8.841348686932182
x=0.044265069262739785 , y=2.4203044308587223 , z=-0.5060728782153254
x=0.38284478467313776 , y=3.6848877280969456 , z=3.308024297147005
x=1.7527121142839581 , y=1.2657810938384042 , z=7.814837000577067
x=-0.43190104033660154 , y=4.198139756635649 , z=5.060744040708671
x=-2.5758348862172564 , y=-2.737346695298987 , z=-6.133908760249179
x=-1.1772509553129247 , y=0.9295969716283682 , z=7.2932156543925135
x=1.3698673296108204 , y=1.1102506384798703 , z=13.233302614465908
x=1.2693744836389471 , y=3.0675494637858263 , z=2.6476187601733265
x=0.2703816019771627 , y=3.7614627884537395 , z=0.6496406261274656
x=0.5814501419719386 , y=2.2264902599606455 , z=3.517394565292018
x=0.1244258901423687 , y=2.029082699262026 , z=9.36656342291728
x=-1.6749468866046913 , y=-1.2083555205290897 , z=0.9595037402443524
x=-1.6019728453261484 , y=0.07776522767926691 , z=3.9815979674449657
x=0.7369805973304724 , y=1.7479285571609424 , z=7.861497663040169
x=2.020705752338467 , y=2.7947722686083014 , z=5.140897232310592
x=0.8434547970255425 , y=3.6992460287437012 , z=3.9098140934888956
x=-0.5766589555712146 , y=1.2298929714992233 , z=4.354868008594364
x=-0.4761661095993413 , y=1.4368676464438745 , z=4.935120353966122
x=0.09930267864940039 , y=0.937973918551927 , z=3.396562064950192
x=-0.41156138596664904 , y=1.4440467967672526 , z=5.752254142898514
x=-0.5802523453717575 , y=0.06340692703251127 , z=4.310602939331624
x=0.8685780085185107 , y=2.672741971666295 , z=4.809496667223572
x=1.6091519956495262 , y=1.8843171547497046 , z=3.3307595447173193
x=0.638875715281253 , y=3.550894723708545 , z=7.439171366227307
x=-1.4057630812277095 , y=1.275355837362144 , z=3.305636333224351
x=-0.8386712399025266 , y=1.9788362762760892 , z=3.777011256422968
x=1.088720816787445 , y=1.642644524788345 , z=3.140531134342077
x=1.7969848128244061 , y=2.4346627315054783 , z=6.307383276777304
x=0.4426659511828142 , y=1.6282938534192977 , z=3.445610691335948
x=-0.23449347963798176 , y=1.456009504213646 , z=2.0745455651249465
x=0.30507955699387085 , y=2.129583174511607 , z=5.497428638168288
x=0.4642034021529477 , y=2.1523107928042133 , z=6.583753861755372
x=0.016746264569409485 , y=3.692066878420323 , z=5.790545487715765
x=-0.008376946923558823 , y=1.3495276752408678 , z=-0.0717838739560701
x=1.35192326844123 , y=2.553099638646942 , z=5.655347057449476
x=1.4703678048604019 , y=0.5802523453717575 , z=4.004325585737572
x=0.5323938863084747 , y=3.3223825977937604 , z=7.183140435619192
x=-0.7262080572065516 , y=2.1594899431275913 , z=3.5317528659387736
x=-0.05742557330931444 , y=1.1305902928498228 , z=2.100866573218096
x=1.4057630812277095 , y=1.8017683699474218 , z=7.498992532736984
x=1.3172253134245218 , y=0.7190289068831738 , z=5.199520602220087
x=0.2751727883778867 , y=3.396562064950192 , z=6.400704601703508
x=-1.1676762117891848 , y=2.9383400165204416 , z=0.16031401248154967
x=-0.4139493498893029 , y=0.7908127808392438 , z=1.8651752969799331
x=0.6017821670641829 , y=-0.08733997120300674 , z=6.243976349744792
x=0.18783281717487996 , y=1.0815416664640671 , z=6.899598329595455
x=-0.5383752400316716 , y=3.439629337612751 , z=4.815485650224477
x=-0.2213329755914071 , y=0.8877198662882823 , z=-2.5710513290942405
x=0.5539313372786082 , y=2.742130252422003 , z=5.611081988186736
x=0.5120542319385223 , y=1.196392813082696 , z=8.084028435231756
x=0.149549101635337 , y=1.575651837232999 , z=5.101423349448576
x=0.4247218900132237 , y=3.674122817250733 , z=2.9850006789835435
x=0.6675846872970561 , y=1.573256244032637 , z=1.0253062604772256
x=0.32541921136382335 , y=2.276736682946582 , z=6.583753861755372
x=-0.5862336990949544 , y=0.43788239405979834 , z=5.827631406655128
x=-0.053839812786479604 , y=2.2312738170836615 , z=4.076109459693642
