,ori,,,
1582891726918,7.778778,-12.451873,-6.8845687,DATA
1582891726934,7.873169,-11.483173,-6.7845473,DATA
1582891726960,7.874817,-12.05772,-6.6014776,DATA
1582891726975,7.9300537,-12.554392,-6.6472363,DATA
1582891726995,7.9865723,-12.248136,-6.4806066,DATA
1582891727016,8.291626,-10.624745,-6.559082,DATA
1582891727045,8.524445,-10.804904,-6.55613,DATA
1582891727056,8.371918,-12.676523,-6.171012,DATA
1582891727079,8.6528015,-11.0183525,-6.413545,DATA
1582891727113,8.902649,-9.942921,-6.355479,DATA
1582891727115,9.015533,-10.227916,-6.220274,DATA
1582891727135,8.99231,-10.942555,-5.903445,DATA
1582891727159,8.800476,-13.036352,-5.777132,DATA
1582891727178,8.926819,-11.517797,-5.8859,DATA
1582891727199,9.240448,-8.614674,-5.902475,DATA
1582891727219,9.550293,-9.527081,-6.1049967,DATA
1582891727236,9.714508,-12.052276,-5.7758565,DATA
1582891727257,9.712433,-12.262671,-5.6273446,DATA
1582891727285,9.926025,-10.909277,-5.6158285,DATA
1582891727300,9.942902,-11.909524,-5.5642347,DATA
1582891727317,9.778595,-13.734216,-5.312558,DATA
1582891727342,10.1073,-12.890178,-5.449261,DATA
1582891727359,10.41748,-11.833693,-5.5674367,DATA
1582891727378,10.885254,-12.423842,-5.5956216,DATA
1582891727400,11.198761,-13.18515,-5.5684943,DATA
1582891727421,11.486572,-13.374262,-5.5164585,DATA
1582891727441,11.625,-14.177507,-5.3251243,DATA
1582891727467,11.748169,-13.467022,-5.296204,DATA
1582891727484,12.339996,-10.342104,-5.5679684,DATA
1582891727510,12.785004,-11.331127,-5.513433,DATA
1582891727519,12.8815,-13.980855,-5.5900345,DATA
1582891727539,13.1901245,-13.040735,-5.3563986,DATA
1582891727561,13.455139,-11.865821,-5.189235,DATA
1582891727579,13.67981,-12.143978,-5.2019625,DATA
1582891727602,14.010681,-11.016556,-5.2682314,DATA
1582891727623,14.202667,-11.720925,-5.1035953,DATA
1582891727645,14.352844,-11.969314,-4.9698358,DATA
1582891727665,14.958557,-9.500533,-5.2497187,DATA
1582891727690,15.156433,-9.514251,-5.12479,DATA
1582891727718,15.379852,-11.198065,-5.071657,DATA
1582891727723,15.663361,-11.315597,-5.065024,DATA
1582891727742,15.982758,-9.5440855,-4.9378095,DATA
1582891727762,16.14392,-9.265867,-4.8056993,DATA
1582891727782,16.426086,-10.695189,-4.922163,DATA
1582891727805,16.588776,-11.3608265,-4.7002325,DATA
1582891727822,16.838165,-11.0756035,-4.689742,DATA
1582891727842,17.229462,-10.539998,-4.7533884,DATA
1582891727863,17.185608,-12.091717,-4.332343,DATA
1582891727886,17.306305,-11.69071,-4.37437,DATA
1582891727908,17.953308,-9.364246,-4.66358,DATA
1582891727923,18.455048,-10.175028,-4.7366033,DATA
1582891727944,18.654968,-11.763876,-4.4796805,DATA
1582891727964,18.615082,-12.092264,-3.98881,DATA
1582891727983,18.691254,-11.776428,-3.872966,DATA
1582891728008,19.09665,-10.975342,-4.187505,DATA
1582891728025,19.265747,-11.036483,-3.8059287,DATA
1582891728049,19.56601,-10.996198,-3.8857949,DATA
1582891728071,19.933685,-11.171063,-3.8596203,DATA
1582891728089,19.998596,-11.579231,-3.4615796,DATA
1582891728107,19.977112,-11.57213,-3.1782968,DATA
1582891728138,20.229889,-11.151068,-3.292996,DATA
1582891728148,20.578583,-10.521705,-3.341798,DATA
1582891728165,20.848114,-9.765061,-2.9947422,DATA
1582891728187,20.975586,-10.885348,-2.907549,DATA
1582891728206,20.9292,-12.055477,-2.6670325,DATA
1582891728231,20.940277,-11.648866,-2.3651505,DATA
1582891728247,21.163269,-10.969498,-2.4946766,DATA
1582891728267,21.53894,-9.986604,-2.5345883,DATA
1582891728294,21.78064,-10.600114,-2.3200572,DATA
1582891728344,21.998566,-10.544614,-2.2592854,DATA
1582891728345,22.11139,-10.676736,-1.8780482,DATA
1582891728348,22.176514,-11.337609,-1.7964565,DATA
1582891728367,22.314087,-11.191088,-1.7077157,DATA
1582891728387,22.310455,-11.532197,-1.4307767,DATA
1582891728408,22.579071,-10.433948,-1.3877017,DATA
1582891728428,22.800934,-10.019535,-1.2636163,DATA
1582891728454,22.743652,-12.085925,-1.0598689,DATA
1582891728469,22.71936,-11.409623,-0.7304645,DATA
1582891728493,23.185791,-8.727222,-0.91559464,DATA
1582891728545,23.165985,-10.863415,-0.5744294,DATA
1582891728545,22.734772,-12.088024,0.023361597,DATA
1582891728549,23.174408,-8.579497,-0.26465893,DATA
1582891728569,23.417572,-8.801867,-0.10573245,DATA
1582891728589,23.542267,-9.7537565,-0.04730846,DATA
1582891728609,23.376923,-10.861611,0.4715274,DATA
1582891728631,23.382477,-10.301173,0.47920635,DATA
1582891728650,23.543304,-9.134099,0.72575885,DATA
1582891728674,23.449097,-9.982016,0.9247822,DATA
1582891728697,23.303802,-10.56342,1.0693474,DATA
1582891728745,23.568848,-9.266638,1.0678421,DATA
1582891728745,23.649048,-9.249015,1.2563418,DATA
1582891728752,23.407898,-10.639737,1.6305547,DATA
1582891728773,23.274292,-11.001811,1.664856,DATA
1582891728793,23.249817,-10.259719,1.872886,DATA
1582891728813,23.188477,-9.897976,2.0125003,DATA
1582891728832,23.267822,-10.044702,2.0407383,DATA
1582891728853,23.267181,-10.898964,2.138357,DATA
1582891728872,23.22754,-10.988802,2.2265832,DATA
1582891728894,23.171173,-11.205043,2.357462,DATA
1582891728928,23.088257,-11.312805,2.4505622,DATA
1582891728937,23.0466,-11.192113,2.5220644,DATA
1582891728953,22.745941,-12.307856,2.8099082,DATA
1582891728976,22.750854,-11.374804,2.689324,DATA
1582891728997,22.951813,-10.096677,2.5820177,DATA
1582891729017,22.787079,-11.568373,2.8037877,DATA
1582891729035,22.775665,-11.670461,2.648353,DATA
1582891729062,22.899994,-10.189124,2.696627,DATA
1582891729075,22.956635,-10.208455,2.6670911,DATA
1582891729098,22.745483,-11.429219,2.9009762,DATA
1582891729131,22.644562,-11.483685,2.7591562,DATA
1582891729134,22.653076,-11.146936,2.728356,DATA
1582891729159,22.531128,-10.947997,2.9098632,DATA
1582891729176,22.693146,-9.843702,2.5889568,DATA
1582891729195,22.556213,-11.352111,2.6685905,DATA
1582891729218,22.306183,-11.387244,2.8319523,DATA
1582891729238,22.682098,-8.151925,2.4599154,DATA
1582891729260,22.721771,-9.765272,2.3935666,DATA
1582891729278,22.580109,-11.290095,2.3758032,DATA
1582891729298,22.58023,-10.205465,2.539027,DATA
1582891729330,22.847717,-9.089231,2.0997977,DATA
1582891729338,23.003143,-9.414781,2.1114094,DATA
1582891729359,22.971558,-10.3562355,2.1853616,DATA
1582891729376,22.730774,-11.182843,2.2609813,DATA
1582891729399,22.731934,-10.103942,2.2286875,DATA
1582891729419,23.00998,-8.332209,1.9223608,DATA
1582891729438,22.867828,-10.250442,2.0691125,DATA
1582891729461,22.869415,-10.880933,2.001962,DATA
1582891729480,22.980408,-10.06651,1.9253236,DATA
1582891729507,22.90451,-10.672864,1.9628216,DATA
1582891729540,22.849365,-10.352888,2.038947,DATA
1582891729545,23.047485,-9.448617,1.7771795,DATA
1582891729559,23.031921,-10.130977,1.7652756,DATA
1582891729578,22.918823,-10.277351,1.8929552,DATA
1582891729600,22.955872,-9.523233,1.8881992,DATA
1582891729619,22.932617,-9.447748,1.7827407,DATA
1582891729643,22.862,-9.890248,1.8076723,DATA
1582891729660,22.904236,-9.739014,1.7309098,DATA
1582891729682,22.972412,-8.999394,1.6512476,DATA
1582891729723,23.102509,-8.874982,1.6649166,DATA
1582891729725,23.029968,-10.172556,1.563151,DATA
1582891729741,22.862274,-9.974317,1.7321129,DATA
1582891729761,23.227661,-7.2342606,1.4219906,DATA
1582891729781,23.285889,-8.889746,1.3313421,DATA
1582891729802,22.903748,-11.008245,1.724487,DATA
1582891729821,22.93631,-9.336037,1.5473909,DATA
1582891729842,23.099152,-9.015058,1.3359351,DATA
1582891729861,22.902588,-10.783837,1.5716705,DATA
1582891729885,22.842865,-10.468308,1.5130688,DATA
1582891729905,23.098938,-9.570716,1.1792735,DATA
1582891729957,23.38446,-9.010688,1.0696125,DATA
1582891729957,23.208221,-11.143444,1.338585,DATA
