x,y,z
-0.483 , 8.11 , 5.63
-0.497 , 8.086 , 5.578
-0.536 , 8.153 , 5.738
-0.466 , 8.269 , 5.825
-0.537 , 8.292 , 5.631
-0.497 , 8.274 , 5.596
-0.424 , 8.206 , 5.501
-0.441 , 8.277 , 5.564
-0.349 , 8.357 , 5.588
-0.291 , 8.419 , 5.657
-0.345 , 8.365 , 5.521
-0.331 , 8.348 , 5.525
-0.303 , 8.293 , 5.493
-0.392 , 8.336 , 5.562
-0.334 , 8.394 , 5.624
-0.422 , 8.346 , 5.656
-0.388 , 8.274 , 5.702
-0.346 , 8.218 , 5.751
-0.322 , 8.225 , 5.778
-0.35 , 8.208 , 5.798
-0.388 , 8.154 , 5.732
-0.573 , 8.115 , 5.798
-0.636 , 8.072 , 5.838
-0.725 , 8.066 , 5.769
-0.803 , 8.061 , 5.82
-0.809 , 8.054 , 5.92
-0.689 , 8.136 , 5.942
-0.635 , 8.142 , 5.875
-0.539 , 8.203 , 5.699
-0.428 , 8.177 , 5.558
-0.334 , 8.262 , 5.435
-0.369 , 8.356 , 5.425
-0.403 , 8.36 , 5.477
-0.473 , 8.354 , 5.502
-0.506 , 8.348 , 5.55
-0.495 , 8.311 , 5.541
-0.518 , 8.31 , 5.684
-0.543 , 8.306 , 5.692
-0.506 , 8.304 , 5.657
-0.445 , 8.231 , 5.557
-0.514 , 8.251 , 5.515
-0.551 , 8.238 , 5.535
-0.606 , 8.282 , 5.628
-0.633 , 8.255 , 5.695
-0.569 , 8.227 , 5.758
-0.633 , 8.226 , 5.804
-0.619 , 8.183 , 5.756
-0.558 , 8.184 , 5.649
-0.548 , 8.196 , 5.684
-0.52 , 8.23 , 5.605
-0.546 , 8.227 , 5.68
-0.52 , 8.236 , 5.704
-0.53 , 8.214 , 5.757
-0.549 , 8.247 , 5.728
-0.514 , 8.235 , 5.697
-0.443 , 8.305 , 5.662
-0.495 , 8.332 , 5.58
-0.465 , 8.359 , 5.487
-0.576 , 8.291 , 5.406
-0.557 , 8.267 , 5.447
-0.55 , 8.321 , 5.526
