x=-0.027083935863965226 , y=1.9005904041012083 , z=4.607908262340881
x=0.2389566070972549 , y=1.8695545023844167 , z=4.726314652371512
x=0.051657839361946074 , y=1.9324502678104811 , z=4.574095303538319
x=-0.12917130087684373 , y=2.002548071393048 , z=4.28712002254591
x=-0.33055371526141447 , y=2.045813705276019 , z=4.211727500233881
x=-0.41549046398635103 , y=2.0836930690970297 , z=4.29006492374126
x=-0.08114499770398145 , y=2.122533721909268 , z=4.164395461332461
x=0.3168896788861013 , y=2.1611760135010947 , z=4.250209576993836
x=0.20062711589146298 , y=1.9852372402732348 , z=4.462417936446284
x=-0.223820120124267 , y=1.8400215683761323 , z=4.640843854207004
x=-0.39615024499616747 , y=1.8526327644277194 , z=4.521941561125343
x=-0.2518729742571684 , y=1.9265299483089495 , z=4.380563415915444
x=0.03812350070767161 , y=1.9505926902004838 , z=4.468246704615318
x=0.31993376069165685 , y=1.936280165219977 , z=4.5630557386946125
x=0.22484244333716033 , y=1.924676033825867 , z=4.5810226876973275
x=-0.229809103125172 , y=1.8549444355732916 , z=4.5332862970773755
x=-0.4549338297375342 , y=1.8481620076907381 , z=4.5184702397681304
x=-0.16760760197054989 , y=1.9599767017815197 , z=4.484382626968075
x=0.1971252774234179 , y=2.0778871887611206 , z=4.3805252695269035
x=0.2817797428731526 , y=2.1522955342487973 , z=4.29279620516078
x=0.08647786282198475 , y=2.1354577183468897 , z=4.192295729911199
x=-0.21009504952728858 , y=2.064879270268709 , z=4.275409081263885
x=-0.3808764310244327 , y=1.9466483536253656 , z=4.4256295593375405
x=-0.152471114997562 , y=1.9210216098036588 , z=4.512443110378684
x=0.20113827749790963 , y=1.958557656127802 , z=4.511687811885577
x=0.2650487368591594 , y=1.960709112441503 , z=4.493896336270149
x=-0.01173382911514888 , y=1.9466102072368248 , z=4.424813226622767
x=-0.26691028061995026 , y=1.9209071706380363 , z=4.367586014533865
x=-0.2539557670714959 , y=1.8874756757208826 , z=4.4483495483524385
x=-0.019126599214355163 , y=1.854906289184751 , z=4.585249307547648
x=0.19165508530666775 , y=1.8798387687350153 , z=4.6174448594760795
x=0.15382149715190618 , y=1.9425590607737921 , z=4.470276092485689
x=-0.09570165957114925 , y=2.0035627653282333 , z=4.306712007700463
x=-0.2580069135345285 , y=2.016982664816885 , z=4.278361611736943
x=-0.15218883172236009 , y=1.9968642595004695 , z=4.365343006887667
x=0.04286128216443849 , y=1.97676111273947 , z=4.472534358687303
x=0.09575506451510636 , y=1.9648594395147416 , z=4.49596387052906
x=-0.040755601516986546 , y=1.9678195992655074 , z=4.44879967573722
x=-0.22068448698621357 , y=1.9691852399752678 , z=4.395173482726569
x=-0.23803346449456764 , y=1.9756701260272032 , z=4.374856716189741
x=-0.061614046771093854 , y=1.9921569951545353 , z=4.389916910385647
x=0.07131085873816422 , y=1.9827272079072504 , z=4.454590297517713
x=0.006385705441729266 , y=1.9524084582950256 , z=4.516959642781915
x=-0.13672428580792137 , y=1.9300317867769947 , z=4.4839096117501684
x=-0.20190120526872557 , y=1.953339230175421 , z=4.426682399661266
x=-0.10934280811333792 , y=1.9615712208225249 , z=4.415719127594642
x=0.046523335464354915 , y=1.9832612573468216 , z=4.475288527939949
x=0.11899384441415933 , y=1.9992064477568743 , z=4.455833869784143
x=-0.030868057607212198 , y=1.9944152613561503 , z=4.3796936782567135
x=-0.23321939026071917 , y=1.980934327645833 , z=4.381951944458329
x=-0.20592946389863365 , y=1.9586797245711325 , z=4.371019189502537
x=-0.020980513697437853 , y=1.940392345904675 , z=4.448273255575357
x=0.05364145156606747 , y=1.9391564029159531 , z=4.509879673068743
x=-0.004424981070732347 , y=1.9312677297657166 , z=4.489959628972739
x=-0.1304453902541063 , y=1.9429023782706594 , z=4.4284371335341435
x=-0.18253809844541746 , y=1.9508063099763122 , z=4.389565963611072
x=-0.09610601128968169 , y=1.9399879941861424 , z=4.413186207395532
x=0.049063884941171934 , y=1.9363335701639341 , z=4.469818335823199
x=0.09422920897347452 , y=1.936760809715591 , z=4.5047451691711515
x=-0.021346719027429493 , y=1.9398964428536445 , z=4.4754029671055715
x=-0.13329874011695786 , y=1.9588246808475875 , z=4.4135066370592755
x=-0.13127698152429568 , y=1.9748843104232627 , z=4.3826462087297715
x=-0.027312814195210002 , y=1.970344890186908 , z=4.423699352077376
x=0.044120112986284765 , y=1.9515997548579609 , z=4.47789774091614
x=0.009887543909774348 , y=1.9326715168640178 , z=4.488159119433614
x=-0.10756518640733682 , y=1.9260340452579192 , z=4.471565440418368
x=-0.1778155755440669 , y=1.928368604236616 , z=4.453705301303566
x=-0.11380593557261107 , y=1.9543081484443574 , z=4.42973411074453
x=0.0031966673597187125 , y=1.9889679570725247 , z=4.401536300335174
x=0.04745410734475034 , y=2.002387856561177 , z=4.377549851220721
x=-0.010047758741645691 , y=1.9826738029632933 , z=4.374391330249543
x=-0.10612325292049474 , y=1.9364937849958055 , z=4.40884514837959
x=-0.14295740569548746 , y=1.9106763092313948 , z=4.446854209921639
x=-0.06318567797897465 , y=1.9331521613596319 , z=4.478675927242372
x=0.06868638720655745 , y=1.9424217337750453 , z=4.462036472560876
x=0.10013426991958975 , y=1.9333276347469195 , z=4.46927665710592
x=0.016509756960456548 , y=1.9096616152962096 , z=4.497131150018409
x=-0.0856462715517954 , y=1.8783281717487996 , z=4.506919513317977
x=-0.12764544533521188 , y=1.8823945767672485 , z=4.514251249195518
x=-0.09086469750417629 , y=1.904549999231743 , z=4.514762410801965
x=-0.00527183089633802 , y=1.9514013936375487 , z=4.47254961724272
x=0.05117719486633204 , y=2.006461890857334 , z=4.404916070359889
x=0.06153775399401226 , y=2.0414726462600763 , z=4.360086434546744
x=0.03655186949979082 , y=2.028472357045373 , z=4.350473544634464
x=-0.017150616287941924 , y=1.996650639724641 , z=4.3815857391283375
x=-0.025535192489208904 , y=1.9919128582678742 , z=4.396005073996759
x=-0.0018920608716234864 , y=1.9972838697744182 , z=4.385316455927627
x=0.06416222552561902 , y=1.9983672272089767 , z=4.420716304493486
x=0.12183956499930272 , y=2.0055692653654793 , z=4.47582257737952
x=0.09490821468950068 , y=1.974319743872859 , z=4.46952079399258
x=0.08641682860031948 , y=1.9191829538759924 , z=4.450478116833015
x=0.14678730310498336 , y=1.914811377749217 , z=4.410454925976012
x=0.0998062109781389 , y=1.9837571603978519 , z=4.619657350011446
x=0.02050749847953198 , y=1.9547582758291386 , z=4.653889919087956
x=0.1183835021975066 , y=1.8662815422476162 , z=4.270717075473367
x=0.16480002777394728 , y=1.9227229387325782 , z=4.362085305306282
x=-0.12061888056599725 , y=1.8888718335414758 , z=4.481437725772725
x=-0.31830872453981895 , y=1.7617528083681269 , z=4.506736410652981
x=-0.03826845698412664 , y=1.8585149375407102 , z=4.635655945365456
x=0.1828737866645765 , y=1.9881974000240006 , z=4.4875792943277935
x=-0.11150952298245514 , y=1.9457786159666353 , z=4.400231693847078
x=-0.25917419302387684 , y=1.9334725910233745 , z=4.495971499806768
x=0.023864380671122037 , y=2.0170742161493833 , z=4.281611684040619
x=0.007331735877541009 , y=2.0342858666589905 , z=4.300600956256227
x=-0.2660710600720528 , y=1.994636510409687 , z=4.438164462612046
x=-0.19086164042501919 , y=1.9865723638721626 , z=4.288813722197121
x=0.0074080286546226014 , y=1.9899292460637528 , z=4.387116965466753
x=7.018935491506481E-4 , y=1.9538885381704085 , z=4.472473324465638
